Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Viêm bờ mi mạn,mắt đỏ,mờ mắt,đau mắt,sốt,,,,
Quai bị,sưng tuyến mang tai,sốt,đau khi nhai,mệt mỏi,,,,
Viêm thận cấp,tiểu rắt,tiểu nhiều lần,tiểu buốt,đau lưng,tiểu ra máu,,,
Viêm van tim mạn,đau ngực,mệt mỏi,sốt,khó thở,,,,
Viêm túi mật cấp,mệt mỏi,đau dữ dội,chán ăn,buồn nôn,vàng da,,,
Viêm khớp gối mạn,đau khớp,hôi miệng,cứng khớp,,,,,
Viêm khớp vai mạn,hạn chế vận động,mệt mỏi,kéo dài,đau khớp,đau xương,đau,cứng khớp,
Ung thư dạ dày,sụt cân,chán ăn,buồn nôn,,,,,
U lành tính móng,ngứa,da đỏ,mụn nước,phát ban,,,,
Ung thư trực tràng,táo bón,sụt cân,đầy hơi,đi ngoài ra máu,,,,
Nhiễm trùng âm đạo,ớn lạnh,sốt,ra khí hư,,,,,
Viêm hậu môn mạn,tiêu chảy,đầy hơi,đau bụng,táo bón,,,,
Viêm bao hoạt dịch,sưng khớp,đau xương,cứng khớp,hạn chế vận động,,,,
Ung thư màng não,yếu liệt tay chân,sụt cân,tê tay chân,,,,,
Viêm phế quản cấp,ho có đờm,khó thở,thở khò khè,đau ngực,,,,
Viêm ruột thừa,đau hố chậu phải,đau bụng,sốt,buồn nôn,,,,
Viêm khớp dạng thấp,sưng khớp,mệt mỏi,ghèn mắt,cứng khớp,đau khớp,,,
Nhiễm trùng hồi tràng,táo bón,đi ngoài ra máu,đau bụng,đầy hơi,,,,
Ung thư vòi trứng,chán ăn,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,,,,
Viêm trung thất,thở khò khè,đau ngực,ho,,,,,
Viêm nang lông mạn,ngứa,da đỏ,mụn nước,phát ban,kéo dài,mệt mỏi,,
Ung thư hậu môn,đầy hơi,táo bón,đi ngoài ra máu,sụt cân,,,,
Viêm amidan,sưng amidan,hôi miệng,đau tai,sốt,khó nuốt,đau họng,,
Loét dạ dày,ợ chua,đau,nôn ra máu,buồn nôn,đau thượng vị,,,
Viêm đại tràng,đi ngoài ra máu,sốt,đau bụng,tiêu chảy,táo bón,đầy hơi,,
Viêm dây thanh,ho,đau tai,khàn tiếng,đau họng,,,,
Sỏi niệu đạo,tiểu rắt,tiểu buốt,đau lưng,tiểu ra máu,tiểu nhiều lần,,,
Nhiễm trùng vòi trứng,đau khi quan hệ,ra khí hư,sốt,đau bụng dưới,ớn lạnh,,,
Thoái hóa sụn khớp,cứng khớp,sưng khớp,,,,,,
Viêm niệu đạo cấp,tiểu rắt,tiểu nhiều lần,đau dữ dội,tiểu buốt,sốt,,,
Viêm bao hoạt dịch cấp,sưng khớp,hạn chế vận động,,,,,,
Nhiễm trùng ruột non,sốt,đau bụng,tiêu chảy,đầy hơi,,,,
Nhiễm trùng tử cung,ra khí hư,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,,,,
Viêm tuyến lệ,cộm mắt,đau mắt,,,,,,
Ung thư tâm vị,buồn nôn,sụt cân,mệt mỏi,chán ăn,,,,
COVID-19,ho khan,cứng đờ,khó thở,đau họng,sốt,,,
Ung thư ruột non,táo bón,chán ăn,mệt mỏi,đi ngoài ra máu,sụt cân,đau bụng,,
Viêm vòm họng mạn,kéo dài,đau họng,sốt,khàn tiếng,,,,
Ung thư manh tràng,sụt cân,tiêu chảy,táo bón,đi ngoài ra máu,đầy hơi,,,
Viêm van tim mạn,đau ngực,mệt mỏi,kéo dài,hồi hộp,khó thở,,,
Viêm xoang,đau mặt,sổ mũi,nghẹt mũi,giảm khứu giác,,,,
Viêm tuyến tiền liệt,đau bụng dưới,đau khi quan hệ,,,,,,
Viêm cột sống cấp,đau dữ dội,cứng khớp,đau khớp,đau xương,,,,
Nhiễm trùng cổ tử cung,ra khí hư,sốt,rối loạn kinh nguyệt,đau bụng dưới,đau khi quan hệ,ớn lạnh,,
Viêm cổ tử cung cấp,đau dữ dội,đau khi quan hệ,đau bụng dưới,,,,,
Ung thư đường mật,da khô,sụt cân,vàng da,đau hạ sườn phải,buồn nôn,,,
Nhiễm trùng thận,tiểu buốt,sốt,đau lưng,tiểu ra máu,tiểu nhiều lần,,,
Viêm phế quản cấp,đau dữ dội,phù chân,ho,khó thở,thở khò khè,ho có đờm,,
Viêm động mạch chủ cấp,đau dữ dội,đau ngực,mệt mỏi,phù chân,khó thở,,,
Polyp ruột non,táo bón,đi ngoài ra máu,,,,,,
Nhiễm trùng buồng trứng,đau bụng dưới,ra khí hư,ớn lạnh,,,,,
Ung thư buồng trứng,đau khi quan hệ,chán ăn,sụt cân,rối loạn kinh nguyệt,đau bụng dưới,ra khí hư,,
Viêm tuyến lệ mạn,mệt mỏi,mờ mắt,đau mắt,mắt đỏ,kéo dài,cộm mắt,sốt,
Viêm màng phổi mạn,đau ngực,ho có đờm,kéo dài,mệt mỏi,khó thở,ho,nói khó,thở khò khè
Nhiễm trùng hậu môn,đầy hơi,ớn lạnh,tiêu chảy,táo bón,,,,
Viêm họng,ho,sốt,khó nuốt,sưng hạch,,,,
Ung thư tử cung,ra khí hư,sụt cân,đau bụng dưới,chán ăn,mệt mỏi,,,
Ung thư tinh hoàn,đau bụng dưới,rối loạn kinh nguyệt,chán ăn,sụt cân,ra khí hư,mệt mỏi,,
Viêm đường mật cấp,đau dữ dội,vàng da,sốt,chán ăn,đau hạ sườn phải,,,
Viêm dạ dày cấp,đau dữ dội,chán ăn,,,,,,
Nhiễm trùng bàng quang,tiểu buốt,đau lưng,tiểu rắt,sốt,chán ăn,,,
Viêm tai giữa cấp,đau họng,khàn tiếng,nghẹt mũi,đau tai,,,,
Viêm phổi cấp,ho có đờm,thở khò khè,khó thở,sốt,đau dữ dội,,,
Viêm phế quản,ho có đờm,khó thở,mệt mỏi,,,,,
Viêm bàng quang,đau sau hốc mắt,đau bụng dưới,tiểu buốt,tiểu nhiều lần,tiểu rắt,nước tiểu đục,,
Viêm dây thanh cấp,sốt,mờ mắt,ho,nghẹt mũi,đau tai,khàn tiếng,,
