Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Cảm cúm,sốt cao,mệt mỏi,,,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Viêm họng,đau họng,khó nuốt,,,,,,
Viêm dạ dày,buồn nôn,đau bụng,ợ chua,đầy hơi,,,,
Hen suyễn,đau ngực,thở khò khè,ho,khó thở,,,,
Thủy đậu,phát ban,sốt,ngứa,mệt mỏi,,,,
Dị ứng,phát ban,hắt hơi,ngứa,nghẹt mũi,,,,
Thủy đậu,phát ban,ngứa,mệt mỏi,,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,phát ban,thở khò khè,buồn nôn,đau khớp,,
Cảm cúm,ho,đau đầu,mệt mỏi,sốt cao,đau họng,đau nhức cơ,,
Viêm họng,đau họng,sưng hạch,ho,khó nuốt,,,,
Sốt xuất huyết,đau sau hốc mắt,buồn nôn,phát ban,sốt cao,khó nuốt,,,
Viêm phế quản,ho có đờm,sốt nhẹ,khó thở,mệt mỏi,,,,
Sốt rét,mệt mỏi,sốt cao,ớn lạnh,đổ mồ hôi,,,,
Dị ứng,hắt hơi,ngứa,nghẹt mũi,phát ban,,,,
Viêm xoang,đau đầu,nghẹt mũi,đau mặt,,,,,
Sốt xuất huyết,chảy máu cam,đau đầu,sốt cao,đau sau hốc mắt,phát ban,,,
Tiêu chảy cấp,buồn nôn,tiêu chảy,đau bụng,mất nước,nôn,,,
Sốt rét,sốt cao,đổ mồ hôi,,,,,,
Thủy đậu,ngứa,mệt mỏi,phát ban,hắt hơi,,,,
Viêm phổi,đau ngực,khó thở,sốt cao,ho có đờm,ớn lạnh,,,
Cảm cúm,ớn lạnh,ho,mệt mỏi,đau nhức cơ,đau họng,,,
Viêm dạ dày,mất nước,đau bụng,đầy hơi,ợ chua,nôn,,,
Viêm xoang,đau mặt,đau đầu,nghẹt mũi,,,,,
Viêm phổi,đau ngực,sốt cao,khó thở,ớn lạnh,,,,
Viêm dạ dày,buồn nôn,ợ chua,đau bụng,nôn,,,,
Viêm họng,ho,sốt,khó nuốt,đau họng,,,,
Cảm lạnh,hắt hơi,đau họng,ho,sổ mũi,nghẹt mũi,,,
Viêm họng,ho,khó nuốt,đau họng,,,,,
Cảm cúm,mệt mỏi,ớn lạnh,đau nhức cơ,sốt cao,ho,đau đầu,đau họng,
Viêm phế quản,ho có đờm,đau ngực,khó thở,,,,,
Viêm họng,đau họng,sốt,sưng hạch,khó nuốt,ho,,,
Viêm phế quản,ho có đờm,khó thở,mệt mỏi,sốt nhẹ,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,ho,nôn,,,
Cảm lạnh,hắt hơi,sổ mũi,nghẹt mũi,,,,,
Viêm họng,khó nuốt,sốt,,,,,,
Viêm dạ dày,ợ chua,đầy hơi,chán ăn,nôn,,,,
Viêm họng,khó nuốt,sốt,đau họng,sưng hạch,,,,
Viêm dạ dày,nôn,đau bụng,,,,,,
Viêm dạ dày,chán ăn,buồn nôn,ợ chua,,,,,
Viêm dạ dày,ợ chua,nôn,,,,,,
Đau nửa đầu,đau đầu,buồn nôn,nhạy cảm ánh sáng,,,,,
Sốt xuất huyết,sốt cao,phát ban,đau sau hốc mắt,buồn nôn,ợ chua,đau đầu,,
Sốt xuất huyết,sốt cao,đau đầu,phát ban,đau sau hốc mắt,,,,
Cảm cúm,ho,sốt cao,mệt mỏi,đau nhức cơ,đau đầu,,,
Cảm lạnh,sổ mũi,mệt mỏi,ho,đau họng,nghẹt mũi,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Sốt xuất huyết,đau sau hốc mắt,phát ban,chảy máu cam,sốt cao,đau khớp,,,
Viêm xoang,đau đầu,nghẹt mũi,đau mặt,sổ mũi,,,,
Sốt rét,mệt mỏi,đau đầu,sốt cao,ớn lạnh,đổ mồ hôi,,,
Sốt xuất huyết,phát ban,sốt cao,đau sau hốc mắt,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,sốt cao,nôn,đau đầu,,,,
Cảm cúm,sốt cao,mệt mỏi,đau nhức cơ,ớn lạnh,ho,,,
Viêm họng,khó nuốt,đau họng,sưng hạch,,,,,
Viêm phế quản,mệt mỏi,ho có đờm,đau ngực,khó thở,,,,
Viêm dạ dày,nôn,đau bụng,ợ chua,buồn nôn,,,,
Tiêu chảy cấp,nôn,buồn nôn,tiêu chảy,,,,,
Cảm lạnh,ớn lạnh,mệt mỏi,nghẹt mũi,sổ mũi,hắt hơi,ho,,
Viêm xoang,đau mặt,sổ mũi,nghẹt mũi,,,,,
Cảm lạnh,ho,hắt hơi,sổ mũi,mệt mỏi,đau họng,nghẹt mũi,,
Sốt xuất huyết,đau đầu,phát ban,đau sau hốc mắt,khó thở,đau khớp,sốt cao,,
Đau nửa đầu,chóng mặt,đau đầu,nhạy cảm ánh sáng,nôn,,,,
Viêm phế quản,mệt mỏi,ho có đờm,,,,,,
Viêm phổi,đau ngực,ho có đờm,sốt cao,khó thở,,,,
Viêm dạ dày,ợ chua,đau bụng,nôn,,,,,
Thủy đậu,ngứa,mệt mỏi,sốt,phát ban,,,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,chóng mặt,nôn,,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,ớn lạnh,mệt mỏi,,,
Viêm dạ dày,đau bụng,buồn nôn,nôn,ợ chua,,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,chóng mặt,,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,mệt mỏi,mất nước,sốt,buồn nôn,,
Viêm xoang,đau đầu,nghẹt mũi,giảm khứu giác,đau mặt,,,,
Viêm xoang,sổ mũi,đau mặt,giảm khứu giác,nghẹt mũi,,,,
Tiêu chảy cấp,đau bụng,mất nước,tiêu chảy,nôn,,,,
Sốt rét,đổ mồ hôi,mệt mỏi,ớn lạnh,,,,,
Viêm họng,khó nuốt,đau họng,,,,,,
Tiêu chảy cấp,buồn nôn,đau bụng,nôn,tiêu chảy,sốt,,,
Viêm dạ dày,đầy hơi,ợ chua,buồn nôn,chán ăn,nôn,đau bụng,,
Viêm họng,sốt,đau họng,khó nuốt,,,,,
Viêm họng,sưng hạch,khó nuốt,sốt,đau họng,,,,
Cảm lạnh,sổ mũi,hắt hơi,ho,nghẹt mũi,,,,
Viêm dạ dày,chán ăn,đau bụng,đầy hơi,khó nuốt,nôn,ợ chua,,
Đau nửa đầu,buồn nôn,chóng mặt,đau đầu,nhạy cảm ánh sáng,,,,
Viêm dạ dày,nôn,đau bụng,,,,,,
Cảm cúm,đau nhức cơ,sốt cao,mệt mỏi,ho,,,,
Hen suyễn,ho,thở khò khè,khó thở,,,,,
Viêm dạ dày,đầy hơi,chán ăn,ợ chua,đau bụng,buồn nôn,,,
Tiêu chảy cấp,sốt,tiêu chảy,đau bụng,nôn,,,,
Cảm lạnh,sổ mũi,nghẹt mũi,hắt hơi,mệt mỏi,,,,
Thủy đậu,ngứa,sốt,mệt mỏi,phát ban,,,,
Dị ứng,nghẹt mũi,hắt hơi,,,,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,đau đầu,nôn,,,,
Thủy đậu,phát ban,đau mặt,sốt,,,,,
Thủy đậu,phát ban,ngứa,,,,,,
Sốt rét,đổ mồ hôi,sốt cao,đau đầu,ớn lạnh,,,,
Tiêu chảy cấp,sốt,nôn,tiêu chảy,đau bụng,buồn nôn,chảy máu cam,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,buồn nôn,chóng mặt,,,,
Tiêu chảy cấp,sốt,buồn nôn,tiêu chảy,,,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,,,,,,
Viêm phổi,ớn lạnh,ho có đờm,khó thở,sốt cao,,,,
Thủy đậu,chán ăn,phát ban,,,,,,
Dị ứng,hắt hơi,chảy nước mắt,,,,,,
Dị ứng,chảy nước mắt,hắt hơi,,,,,,
Viêm họng,khó nuốt,đau họng,sưng hạch,,,,,
Thủy đậu,phát ban,ngứa,,,,,,
Viêm xoang,nghẹt mũi,đau đầu,đau mặt,,,,,
Viêm phế quản,khó thở,mệt mỏi,ho có đờm,sốt nhẹ,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Hen suyễn,ho,đau ngực,khó thở,thở khò khè,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,buồn nôn,,,,,
Cảm cúm,ớn lạnh,sốt cao,đau đầu,mệt mỏi,ho,,,
Tiêu chảy cấp,tiêu chảy,nôn,buồn nôn,mất nước,,,,
Hen suyễn,thở khò khè,khó thở,ho,,,,,
Cảm lạnh,sổ mũi,hắt hơi,ho,nghẹt mũi,,,,
Viêm xoang,đau mặt,nghẹt mũi,giảm khứu giác,sổ mũi,,,,
Sốt xuất huyết,buồn nôn,phát ban,sốt cao,chảy máu cam,đau sau hốc mắt,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,buồn nôn,,,,,
Viêm phế quản,sốt nhẹ,khó thở,,,,,,
Hen suyễn,thở khò khè,khó thở,đau ngực,,,,,
Sốt xuất huyết,đau sau hốc mắt,đau khớp,phát ban,,,,,
Đau nửa đầu,đau đầu,chóng mặt,nôn,nhạy cảm ánh sáng,,,,
Cảm cúm,đau đầu,sốt cao,đau nhức cơ,ho,,,,
Viêm phổi,khó thở,ho có đờm,ớn lạnh,sốt cao,mệt mỏi,,,
Cảm cúm,đau họng,mệt mỏi,đau nhức cơ,sốt cao,ớn lạnh,đau đầu,,
Dị ứng,phát ban,ngứa,hắt hơi,,,,,
Thủy đậu,mệt mỏi,ngứa,sốt,phát ban,chán ăn,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,,,,,,
Sốt xuất huyết,sốt cao,phát ban,đau sau hốc mắt,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,buồn nôn,nôn,chóng mặt,,,,
Viêm phổi,ho có đờm,mệt mỏi,khó thở,sốt cao,,,,
Sốt rét,đổ mồ hôi,mệt mỏi,sốt cao,,,,,
Đau nửa đầu,chóng mặt,nhạy cảm ánh sáng,buồn nôn,đau đầu,,,,
Dị ứng,nghẹt mũi,hắt hơi,chảy nước mắt,ngứa,,,,
Tiêu chảy cấp,buồn nôn,đau bụng,nôn,,,,,
Hen suyễn,khó thở,ho,thở khò khè,,,,,
Sốt rét,sốt cao,buồn nôn,đổ mồ hôi,ớn lạnh,mệt mỏi,,,
Viêm dạ dày,ợ chua,nôn,ho có đờm,đau bụng,buồn nôn,,,
Viêm xoang,đau mặt,sổ mũi,nghẹt mũi,,,,,
Sốt xuất huyết,chảy máu cam,buồn nôn,sốt cao,đau sau hốc mắt,đau đầu,,,
Viêm họng,sốt,ho,khó nuốt,ớn lạnh,,,,
Sốt rét,đổ mồ hôi,ớn lạnh,buồn nôn,sốt cao,đau đầu,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Viêm xoang,nghẹt mũi,sổ mũi,,,,,,
Hen suyễn,khó thở,đau bụng,,,,,,
Viêm họng,sốt,đau họng,sưng hạch,khó nuốt,,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Sốt rét,sốt cao,ớn lạnh,buồn nôn,mệt mỏi,đổ mồ hôi,,,
Viêm dạ dày,ợ chua,chán ăn,đau bụng,,,,,
Sốt xuất huyết,đau sau hốc mắt,đau khớp,phát ban,sốt cao,,,,
Dị ứng,chảy nước mắt,phát ban,ngứa,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,chóng mặt,,,,,,
Cảm cúm,sốt cao,đau nhức cơ,mệt mỏi,,,,,
Viêm phế quản,khó thở,ho có đờm,đau ngực,,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,sốt cao,đau đầu,,,,
Cảm cúm,đau mặt,ho,đau nhức cơ,sốt cao,mệt mỏi,ớn lạnh,,
Viêm xoang,ợ chua,giảm khứu giác,đau đầu,đau mặt,nghẹt mũi,,,
Dị ứng,phát ban,hắt hơi,nghẹt mũi,ngứa,giảm khứu giác,chảy nước mắt,,
Viêm phế quản,khó thở,mệt mỏi,đau ngực,ho có đờm,,,,
Cảm cúm,đau đầu,đau nhức cơ,ớn lạnh,sốt cao,đau họng,,,
Cảm lạnh,sổ mũi,mệt mỏi,nghẹt mũi,hắt hơi,,,,
Viêm họng,đau họng,khó nuốt,,,,,,
Hen suyễn,khó thở,đau ngực,thở khò khè,,,,,
Dị ứng,ngứa,phát ban,chảy nước mắt,hắt hơi,,,,
Thủy đậu,ngứa,phát ban,sốt,ho,,,,
Cảm cúm,sốt cao,đau nhức cơ,mệt mỏi,đau họng,,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Thủy đậu,ngứa,sốt,phát ban,,,,,
Viêm phổi,đau ngực,ớn lạnh,khó thở,ho có đờm,mất nước,sốt cao,,
Cảm cúm,sốt cao,ho,mệt mỏi,đau họng,đau nhức cơ,,,
Đau nửa đầu,nôn,buồn nôn,đau đầu,nhạy cảm ánh sáng,,,,
Sốt xuất huyết,chảy máu cam,đau sau hốc mắt,buồn nôn,sốt cao,phát ban,,,
Viêm phế quản,sốt nhẹ,đau ngực,khó thở,ho có đờm,,,,
Viêm phế quản,đau ngực,khó thở,sốt nhẹ,ho có đờm,,,,
Sốt xuất huyết,đau khớp,sốt cao,chảy máu cam,đau đầu,phát ban,đau sau hốc mắt,,
Cảm lạnh,mệt mỏi,sổ mũi,ho,nghẹt mũi,đau họng,hắt hơi,,
Cảm cúm,mệt mỏi,đau nhức cơ,sốt cao,đau đầu,,,,
Viêm dạ dày,buồn nôn,ợ chua,nôn,đau bụng,,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,,,,,,
Viêm xoang,nghẹt mũi,đau đầu,giảm khứu giác,đau mặt,,,,
Sốt rét,đổ mồ hôi,sốt cao,đau đầu,ớn lạnh,buồn nôn,mệt mỏi,,
Tiêu chảy cấp,buồn nôn,nôn,tiêu chảy,sốt,đau bụng,,,
Sốt rét,ớn lạnh,đổ mồ hôi,mệt mỏi,đau đầu,sốt cao,,,
Dị ứng,ngứa,nghẹt mũi,hắt hơi,,,,,
Đau nửa đầu,nhạy cảm ánh sáng,thở khò khè,buồn nôn,,,,,
Hen suyễn,thở khò khè,khó thở,đau ngực,,,,,
Dị ứng,chảy nước mắt,mệt mỏi,phát ban,ngứa,hắt hơi,nghẹt mũi,,
Sốt rét,mệt mỏi,sốt cao,đổ mồ hôi,,,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,đau ngực,,,,
Dị ứng,phát ban,hắt hơi,ngứa,nghẹt mũi,,,,
Viêm phế quản,khó thở,mệt mỏi,ho có đờm,,,,,
Viêm phổi,ho có đờm,ớn lạnh,đau ngực,sốt cao,khó thở,,,
Đau nửa đầu,nhạy cảm ánh sáng,chóng mặt,đau đầu,,,,,
Sốt rét,mệt mỏi,ớn lạnh,sốt cao,,,,,
Sốt rét,đổ mồ hôi,sốt cao,ớn lạnh,,,,,
Viêm họng,khó nuốt,đau họng,,,,,,
Sốt rét,ớn lạnh,sốt cao,đau đầu,đổ mồ hôi,,,,
Đau nửa đầu,nôn,chóng mặt,đau đầu,nhạy cảm ánh sáng,,,,
Viêm dạ dày,nôn,đầy hơi,đau bụng,ợ chua,,,,
Hen suyễn,khó thở,đau ngực,thở khò khè,,,,,
Đau nửa đầu,nôn,đau đầu,buồn nôn,đau họng,nhạy cảm ánh sáng,,,
Viêm họng,khó nuốt,đau họng,sốt,ho,,,,
Viêm xoang,nghẹt mũi,,,,,,,
Thủy đậu,phát ban,ngứa,sốt,,,,,
Viêm dạ dày,ợ chua,đau bụng,chán ăn,,,,,
Sốt rét,đau đầu,đổ mồ hôi,ớn lạnh,sốt cao,,,,
Cảm lạnh,nghẹt mũi,ho,sổ mũi,hắt hơi,đau họng,,,
Viêm phổi,sốt cao,đau ngực,ho có đờm,mệt mỏi,khó thở,,,
Thủy đậu,chán ăn,sốt,mệt mỏi,ngứa,phát ban,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,,,,,,
Cảm cúm,mệt mỏi,sốt cao,đau đầu,đau họng,đau nhức cơ,,,
Viêm phế quản,khó thở,ho có đờm,đau ngực,,,,,
Dị ứng,hắt hơi,ngứa,chảy nước mắt,,,,,
