Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,symptoms,clean_text
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions  dischromic _patches,itching skin rash nodal skin eruptions dischromic patches
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,, skin_rash  nodal_skin_eruptions  dischromic _patches, skin rash nodal skin eruptions dischromic patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,itching  nodal_skin_eruptions  dischromic _patches,itching nodal skin eruptions dischromic patches
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,itching  skin_rash  dischromic _patches,itching skin rash dischromic patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions,itching skin rash nodal skin eruptions
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,, skin_rash  nodal_skin_eruptions  dischromic _patches, skin rash nodal skin eruptions dischromic patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,itching  nodal_skin_eruptions  dischromic _patches,itching nodal skin eruptions dischromic patches
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,itching  skin_rash  dischromic _patches,itching skin rash dischromic patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions,itching skin rash nodal skin eruptions
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions  dischromic _patches,itching skin rash nodal skin eruptions dischromic patches
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,, continuous_sneezing  shivering  chills  watering_from_eyes, continuous sneezing shivering chills watering from eyes
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,, shivering  chills  watering_from_eyes, shivering chills watering from eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  chills  watering_from_eyes, continuous sneezing chills watering from eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  shivering  watering_from_eyes, continuous sneezing shivering watering from eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,, continuous_sneezing  shivering  chills, continuous sneezing shivering chills
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,, shivering  chills  watering_from_eyes, shivering chills watering from eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  chills  watering_from_eyes, continuous sneezing chills watering from eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  shivering  watering_from_eyes, continuous sneezing shivering watering from eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,, continuous_sneezing  shivering  chills, continuous sneezing shivering chills
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,, continuous_sneezing  shivering  chills  watering_from_eyes, continuous sneezing shivering chills watering from eyes
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain acidity ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  vomiting  cough  chest_pain, stomach pain acidity vomiting cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain, stomach pain acidity ulcers on tongue cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain, stomach pain acidity ulcers on tongue vomiting chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  cough, stomach pain acidity ulcers on tongue vomiting cough
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, acidity  ulcers_on_tongue  vomiting  cough  chest_pain, acidity ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  vomiting  cough  chest_pain, stomach pain acidity vomiting cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain, stomach pain acidity ulcers on tongue cough chest pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes, vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea abdominal pain yellowing of eyes
